STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded,competitors_within_1_mile,competitors_within_3_miles
06,037,204920,06037204920,1400000US06037204920,2049.20,Census Tract 2049.20,G5020,S,909972,0,+34.0175004,-118.1974975,06,037,204920,Census Tract 2049.20; Los Angeles County; California,2274,358,0,14,0.0,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,,75972.0,13350.0,0.1757226346548728,False,3,15
06,037,205110,06037205110,1400000US06037205110,2051.10,Census Tract 2051.10,G5020,S,286962,0,+34.0245059,-118.2142985,06,037,205110,Census Tract 2051.10; Los Angeles County; California,3501,438,14,20,0.4,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,54939.0,9352.0,0.1702251588125011,False,4,24
06,037,205120,06037205120,1400000US06037205120,2051.20,Census Tract 2051.20,G5020,S,1466242,0,+34.0187542,-118.2117951,06,037,205120,Census Tract 2051.20; Los Angeles County; California,3252,673,62,99,1.91,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,32406.0,16912.0,0.5218786644448559,False,4,22
06,037,206010,06037206010,1400000US06037206010,2060.10,Census Tract 2060.10,G5020,S,1418137,20551,+34.0682177,-118.2320356,06,037,206010,Census Tract 2060.10; Los Angeles County; California,3392,593,1159,256,34.17,754,227,0,14,754,227.4313083108832,526.5686916891168,981.4313083108832,0.3016330348950705,more_reliable,22.23,65.06,70304.0,32411.0,0.4610121756941283,False,3,27
06,037,206020,06037206020,1400000US06037206020,2060.20,Census Tract 2060.20,G5020,S,843243,30290,+34.0571230,-118.2311021,06,037,206020,Census Tract 2060.20; Los Angeles County; California,7629,304,258,85,3.38,59,39,5,8,64,39.81205847478876,24.18794152521124,103.81205847478876,0.6220634136685744,usable_with_caution,0.84,24.81,155658.0,29954.0,0.1924346965783962,False,7,31
06,037,206050,06037206050,1400000US06037206050,2060.50,Census Tract 2060.50,G5020,S,1643425,141255,+34.0325743,-118.2243204,06,037,206050,Census Tract 2060.50; Los Angeles County; California,2340,545,145,65,6.2,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,35924.0,24328.0,0.6772074379245073,False,3,27
06,037,111402,06037111402,1400000US06037111402,1114.02,Census Tract 1114.02,G5020,S,971230,0,+34.2611726,-118.4957411,06,037,111402,Census Tract 1114.02; Los Angeles County; California,5888,968,953,573,16.19,8,13,0,19,8,23.021728866442675,0.0,31.021728866442675,2.8777161083053344,high_uncertainty,0.14,0.84,59323.0,7666.0,0.1292247526254572,False,2,8
06,037,111303,06037111303,1400000US06037111303,1113.03,Census Tract 1113.03,G5020,S,1563907,0,+34.2612078,-118.5128459,06,037,111303,Census Tract 1113.03; Los Angeles County; California,4424,572,657,106,14.85,60,89,0,14,60,90.09439494219384,0.0,150.09439494219384,1.501573249036564,high_uncertainty,1.36,9.13,111815.0,30973.0,0.2770021911192595,False,3,7
06,037,104321,06037104321,1400000US06037104321,1043.21,Census Tract 1043.21,G5020,S,519857,0,+34.2716582,-118.4180839,06,037,104321,Census Tract 1043.21; Los Angeles County; California,2749,583,24,24,0.87,5,7,0,14,5,15.652475842498529,0.0,20.65247584249853,3.130495168499705,high_uncertainty,0.18,20.83,58047.0,35495.0,0.6114872430961118,False,3,7
06,037,104322,06037104322,1400000US06037104322,1043.22,Census Tract 1043.22,G5020,S,692312,0,+34.2742393,-118.4218751,06,037,104322,Census Tract 1043.22; Los Angeles County; California,1778,272,37,53,2.08,17,28,0,14,17,31.304951684997057,0.0,48.30495168499706,1.8414677461762972,high_uncertainty,0.96,45.95,106400.0,31579.0,0.2967951127819548,False,3,6
06,037,108203,06037108203,1400000US06037108203,1082.03,Census Tract 1082.03,G5020,S,1372380,0,+34.2930831,-118.5616551,06,037,108203,Census Tract 1082.03; Los Angeles County; California,3074,329,1447,331,47.07,216,137,135,121,351,182.7840255602223,168.2159744397777,533.7840255602223,0.5207522095732828,usable_with_caution,11.42,24.26,143000.0,25669.0,0.1795034965034965,False,0,2
